,tweet
157,"⚡️ “@HouseDemocrats Work It, Flip It and Reverse It 💃🏻”

https://t.co/nfOMw7Y9R4"
158,".@HouseDemocrats -- out of many, we are one. Just an example of our gorgeous mosaic at work: https://t.co/r9W4OBzhRD"
159,"The next 100 days: the sky’s the limit 

via Chairman @RepJeffries 

https://t.co/M9Vym3rp2V 

#Democrats #ForThePeople"
160,"It’s the 100th Day of the @HouseDemocrats majority.

From cleaning up corruption with #HR1 to fighting for equal pay for equal work to protecting health care access, we’ve been hard at work #ForThePeople.

And we’re just getting started."
161,@HouseDemocrats are proud to reauthorize #VAWA. We MUST prevent violence and empower survivors to stand up and make their voices heard. #ForThePeople https://t.co/74CxdfAJCV
162,@HouseDemocrats are clear: We don’t work for the president. We work #ForThePeople. Check out @RepJeffries on @TheDailyShow with @Trevornoah ⬇️ https://t.co/jnLHllyFbG
163,The American people should not be forced to choose between feeding their families or going bankrupt from a surprise medical bill. FACT: Health care is a fundamental right. 🗣️@HouseDemocrats will never stop fighting #ForThePeople. https://t.co/LFIYKWHhjc
164,.@HouseDemocrats are laser focused on fighting #ForThePeople. We will NOT let Republicans play politics with life and death for millions of American families. https://t.co/MOGgWbKo6T
165,".@HouseDemocrats know that our military families sacrifice so much for this great nation. Thank you, Mrs. Cisneros, for your hard work and compassion #ForThePeople. https://t.co/a6uvvE4JHj"
166,"Happy #WomensHistoryMonth to our queen. 👑  From the South Side of Chicago to Princeton and the White House, First Lady @MichelleObama has always personified grit, grace and strength. https://t.co/pZ5dZiWXBu"
167,Patsy Mink paved the way as the first Asian American woman and first non-white woman elected to Congress. We are all better for her lifetime of work fighting for racial and gender equality and opening the door for future female leaders of color. ⚡#WomensHistoryMonth https://t.co/POMDJaK969
168,"Sylvia Mendez, a lifelong civil rights activist, played an instrumental role in the 1946 case that desegregated schools in California, paving the way toward desegregation across the nation. 🏫 https://t.co/i5miUX52dv"
169,".@RepGilCisneros served in the US Navy for 11 years to give back to the country that gave his family a fair shot at the American dream. Now, he fights every day in Congress for veterans, children and his constituents. #FollowFriday https://t.co/65qAcJKozX"
170,The American people deserve more than partisan cliff notes of Mr. Mueller’s investigation. The Trump Justice Department MUST immediately #ReleaseTheReport and let the people decide for themselves. #FullTransparency #ForThePeople https://t.co/OTRFGfuLmT
171,"Women who work full time face inequality every single day, making just 80 cents to every man’s dollar. @HouseDemocrats are closing this discriminatory gap NOW with the #PaycheckFairnessAct."
172,The GOP has a 🎯on the back of every single American with a pre-existing condition. @HouseDemocrats continue our fight to #ProtectOurCare #ForThePeople. https://t.co/dwz4ccepDV
173,"Motivated by her own chronic illness and the struggles of her community, Susan La Flesche Picotte went on to become the first Native American to earn a medical degree. She dedicated her life to public health and the Omaha people. #WomensHistoryMonth https://t.co/kD9auJVEKD"
174,"The president said ""I understand health care now.""

So he *understands* that he is ripping away coverage from millions of Americans?

Understand this: @HouseDemocrats will never stop fighting to expand health care access &amp; lower costs #ForThePeople. 🏥

https://t.co/IRk3LtOc7A"
175,"For every man’s dollar, a black woman earns 61 cents, a Latina woman earns 53 cents and a Native American woman earns 58 cents. @HouseDemocrats are fighting to end this discriminatory reality #ForThePeople. https://t.co/dn2Oc8sB14"
176,"Shoutout to our sister, Representative @rosadelauro--who has been introducing this bill since 1997--for her dedication and determination in the fight for women's equality. 👑  #PaycheckFairnessAct #WomensHistoryMonth https://t.co/qmCGVWv5ql"
177,@HouseDemocrats passed the #PaycheckFairnessAct for one simple reason: 👏EQUAL 👏🏻PAY👏🏿FOR 👏🏽EQUAL 👏🏾WORK👏🏼 https://t.co/at5uElJbxt
178,"Does gutting the lifesaving healthcare of millions of grandparents, children and hardworking Americans count as being the “party of health care”? 🤔 🏥 #NoCredibility https://t.co/JaGy58Czwa"
179,"The GOP is working to rip away the people’s health care. 

@HouseDemocrats are fighting to protect health care and lower costs #ForThePeople.

Today, tomorrow, everyday. https://t.co/jsxRcg5sz6"
180,"Happy birthday to our leader - trailblazer, legislator and advocate #ForThePeople. #NDP 👑 https://t.co/OSS1zCNHEp"
181,This latest GOP attempt to gut health care for millions of Americans is cruel and inhumane. @HouseDemocrats are fighting to #ProtectOurCare #ForThePeople. 🏥 https://t.co/9eWIr3t0mX
182,".@HouseDemocrats see you, @BetsyDeVosED 👀 

https://t.co/X8ouGmZCnx"
183,@HouseDemocrats were sent to Washington for a reason: to defend health care #ForThePeople. ✊🏾✊🏿 That’s what we’re doing. https://t.co/7d19FJlj7b
184,Unions have built the American middle class. Full stop. @HouseDemocrats are fighting to #ProtectWorkersRights #ForThePeople. https://t.co/bz1aIUksbd
185,The American people deserve the truth. @HouseDemocrats are fighting for transparency #ForThePeople. https://t.co/nrjcIdrLBV
186,The people have spoken.  Special Counsel Mueller’s report to the Attorney General must be made public. #ReleaseTheReport #ForThePeople https://t.co/tJgvdWJnrZ
187,"One year ago today, young people all across the nation mobilized for gun safety reform. @HouseDemocrats are fighting for the safety and future of our children because every American can agree: Too many lives have been taken by senseless gun violence. #EnoughIsEnough https://t.co/HcFMa1v1V8"
188,“The American people paid for this report. They deserve to get an understanding of the conclusions that were drawn.” Chairman @RepJeffries on @FaceTheNation today on the #MuellerReport. https://t.co/nrpOaKeneO
189,Democrats &amp; Republicans agree – AG Barr must make the Mueller Report available to the public #ForThePeople. #ReleaseTheReport https://t.co/0hXKHqHqHp
190,"The daughter of a single mother, @YalitzaAparicio had just finished her teaching degree when she took the film industry by storm. 🎥 At only 25 years old, she became the first Indigenous American woman to receive @TheAcademy nomination for Best Actress. ⚡ #WomensHistoryMonth https://t.co/ROXePgrp59"
191,"Nine years ago today, President Obama signed the historic #ACA into law, changing our nation — and millions of lives — forever. Over 20 million more Americans have access to health insurance coverage. #ThanksObama 🏥 https://t.co/S0n5I0JInf"
192,The American people paid for this report. The American people deserve to see it. @HouseDemocrats are demanding answers #ForThePeople. 🗣️ https://t.co/EF0GNeHBZM
193,"After running his own dental practice for 30 years and serving in the New Jersey Senate, @CongressmanJVD is keeping up the fight for veterans, senior citizens, consumers and families. 🌊 #FollowFriday #NewJerseyStrong https://t.co/GJiFw8yw1x"
194,"⚡️ “It’s all in a day’s work #ForThePeople 🇺🇸”

https://t.co/DudjVnNI5O"
195,"Our nation’s first female astronomer, Maria Mitchell, discovered a comet 💫 in 1847. Decades later, she also discovered that she and another female professor were making less than their male counterparts. She fought for parity and got it! #PaycheckFairness #WomensHistoryMonth https://t.co/bSdIduWRWN"
196,.@HouseDemocrats are fighting to keep the Internet free and open #ForThePeople. https://t.co/MyrbcwIz05
197,Happy #Holi to all who celebrate! 💥 https://t.co/eULhgYNIZu
198,Bessie Coleman was #CatchingFlights as the nation’s first African-American female pilot. Her national reputation allowed her to establish her own flying school for women. ✈️  #WomensHistoryMonth #BlackGirlMagic https://t.co/MU1ErPhojy
199,"In a nation as prosperous as ours, NO AMERICAN should ever have to choose between their 🏠 or their 🏥 bill. @HouseDemocrats vowed to drive down the cost of health care and we WILL deliver on that promise #ForThePeople

https://t.co/jdM7NutAhM"
200,"Grace Hopper was a pioneer in computer programming, a Navy rear admiral and the recipient of 40 honorary degrees and the Presidential Medal of Freedom. No big deal or anything. 💥#WomensHistoryMonth https://t.co/mP8iVOjpq6"
201,Let's be clear - the #TrumpBudget is not #ForThePeople. @HouseDemocrats are fighting to ensure everyone can live with the safety and dignity that they deserve. https://t.co/GDDVrmPfVw
202,"⚡️ “@HouseDemocrats Work From Home”

https://t.co/H2BiV5QpG9"
203,When President Trump tried it with funding for his medieval border wall 🏰 from sea to shining 🌊 https://t.co/Ak2mCw0kY3
204,"If sunshine is the best disinfectant, @CSPAN's lights and cameras are the next best. Happy Birthday! #cspan40 https://t.co/sBfxzEHGtE"
205,"It's time to put people over profits. @HouseDemocrats are working hard to protect access to high-quality, affordable health care #ForThePeople. 👩🏼‍⚕️ https://t.co/zVzy8wUHSL"
206,"The #NotoriousRBG inspires us all with her strength, determination and brilliance. Happy birthday 🎂 to the queen. 👑 #WomensHistoryMonth https://t.co/avpoc5tR9V"
207,"Thank you, Rep. @JacksonLeeTX18 for showing off our new @HouseDemocrats wall of fame! https://t.co/iZxJoxMb2U"
208,Inclusion. Diversity. Excellence. https://t.co/KLPIvYftYJ
209,"If your timeline is feeling light on dad jokes, farm puns &amp; Central Valley optimism... you need to follow @RepTjCox of @HouseAgDems fame! #FollowFriday #CA21 https://t.co/zbzwbnj9OQ"
210,"As @HouseDemocrats continue the fight for the equal rights with the #EqualityAct, we look to examples like Grace Lee Boggs, who dedicated her life to fighting for equality and justice no matter the cost. #WomenHistoryMonth https://t.co/2jk54KXscg"
211,"Happy #PiDay from @RepCunningham, @RepHoulahan &amp; @HouseDemocrats! We're recognizing the importance of #STEM education... and eating lots of pie! 🥧🥧🥧 https://t.co/cPPbqRVZS0"
212,"This #ThrowbackThursday, take a break from those HS yearbook photos (cc @RepSwalwell) &amp; catch up on what the @edlaborcmte did this week #ForThePeople. It will only take 3️⃣ mins. https://t.co/hFcjuoqBwz"
213,The founding fathers probably didn't envision a livestream. But this is exactly what Article 1 is all about. @WaysMeansCmte questioning Sec. Mnuchin on the #TrumpBudget. ➡️ https://t.co/dvS15VIaSq
